Fluid_lvl_tank102;Pressure_tank103;Pump_speed;Flowmeter;Tank102_set;Pressure_set;Flow_set;Fluid_lvl_tank101_IO_link;Fluid_lvl_tank102_IO_link;Fluid_lvl_MAX_tank101;Fluid_lvl_MIN_tank101;V101;V102;V103;V104;V106;V107;V108;V109;V112;Cycle_nuber;EStop;Work;State
89.6875;55.095654;0.0;0.0;0.0;0.0;0.0;95;90;0;0;0;0;0;0;0;1;0;0;0;1;0;1;5
89.6875;7.9072466;0.0;0.0;0.0;0.0;0.0;95;90;0;0;0;0;0;0;0;1;0;0;0;1;0;1;5
89.6875;7.397102;0.0;0.0;0.0;0.0;0.0;95;90;0;0;0;0;0;0;0;1;0;0;0;1;0;1;5
89.85577;7.1420293;0.0;0.0;0.0;0.0;0.0;95;90;0;0;0;0;0;0;0;1;0;0;0;1;0;1;5
89.6875;7.1420293;0.0;0.0;0.0;0.0;0.0;95;90;0;0;0;0;0;0;0;0;0;0;0;1;0;1;5
89.51923;7.1420293;0.0;-0.21;0.0;0.0;0.0;95;90;0;0;1;1;0;0;0;0;0;0;1;1;0;1;6
89.35096;6.8869567;0.0;-0.34;0.0;0.0;0.0;95;90;0;0;1;1;0;0;0;0;0;0;1;1;0;1;6
89.01443;7.1420293;0.0;-0.36;0.0;0.0;0.0;95;90;0;0;1;1;0;0;0;0;0;0;1;1;0;1;6
88.84615;7.397102;0.0;-0.36;0.0;0.0;0.0;95;90;0;0;1;1;0;0;0;0;0;0;1;1;0;1;6
88.67789;7.397102;0.0;-0.36;0.0;0.0;0.0;95;90;0;0;1;1;0;0;0;0;0;0;1;1;0;1;6
88.34135;7.397102;0.0;-0.37;0.0;0.0;0.0;100;90;0;0;1;1;0;0;0;0;0;0;1;1;0;1;6
88.17308;7.1420293;0.0;-0.36;0.0;0.0;0.0;100;90;0;0;1;1;0;0;0;0;0;0;1;1;0;1;6
87.5;7.397102;0.0;-0.37;0.0;0.0;0.0;100;90;0;0;1;1;0;0;0;0;0;0;1;1;0;1;6
87.16346;7.1420293;0.0;-0.36;0.0;0.0;0.0;100;90;0;0;1;1;0;0;0;0;0;0;1;1;0;1;6
86.99519;7.397102;0.0;-0.36;0.0;0.0;0.0;100;90;0;0;1;1;0;0;0;0;0;0;1;1;0;1;6
86.82693;7.397102;0.0;-0.37;0.0;0.0;0.0;100;90;0;0;1;1;0;0;0;0;0;0;1;1;0;1;6
86.32211;7.397102;0.0;-0.36;0.0;0.0;0.0;100;90;0;0;1;1;0;0;0;0;0;0;1;1;0;1;6
86.15385;7.652174;0.0;-0.37;0.0;0.0;0.0;100;90;0;0;1;1;0;0;0;0;0;0;1;1;0;1;6
85.98558;7.652174;0.0;-0.36;0.0;0.0;0.0;100;90;0;0;1;1;0;0;0;0;0;0;1;1;0;1;6
85.64904;7.397102;0.0;-0.36;0.0;0.0;0.0;100;90;0;0;1;1;0;0;0;0;0;0;1;1;0;1;6
85.48077;7.652174;0.0;-0.36;0.0;0.0;0.0;100;90;0;0;1;1;0;0;0;0;0;0;1;1;0;1;6
85.48077;7.652174;0.0;-0.36;0.0;0.0;0.0;100;90;0;0;1;1;0;0;0;0;0;0;1;1;0;1;6
84.97596;7.397102;0.0;-0.36;0.0;0.0;0.0;100;90;0;0;1;1;0;0;0;0;0;0;1;1;0;1;6
84.97596;7.652174;0.0;-0.36;0.0;0.0;0.0;100;90;0;0;1;1;0;0;0;0;0;0;1;1;0;1;6
84.30289;7.397102;0.0;-0.36;0.0;0.0;0.0;100;90;0;0;1;1;0;0;0;0;0;0;1;1;0;1;6
84.30289;7.652174;0.0;-0.36;0.0;0.0;0.0;100;85;0;0;1;1;0;0;0;0;0;0;1;1;0;1;6
83.79808;7.397102;0.0;-0.36;0.0;0.0;0.0;105;85;0;0;1;1;0;0;0;0;0;0;1;1;0;1;6
83.29327;7.1420293;0.0;-0.35;0.0;0.0;0.0;105;85;0;0;1;1;0;0;0;0;0;0;1;1;0;1;6
83.125;7.652174;0.0;-0.36;0.0;0.0;0.0;105;85;0;0;1;1;0;0;0;0;0;0;1;1;0;1;6
82.95673;7.397102;0.0;-0.35;0.0;0.0;0.0;105;85;0;0;1;1;0;0;0;0;0;0;1;1;0;1;6
82.78846;7.397102;0.0;-0.35;0.0;0.0;0.0;105;85;0;0;1;1;0;0;0;0;0;0;1;1;0;1;6
82.28365;7.652174;0.0;-0.35;0.0;0.0;0.0;105;85;0;0;1;1;0;0;0;0;0;0;1;1;0;1;6
81.61058;68.10435;82.43182;-0.2;0.0;200.0;0.0;105;85;0;0;0;0;0;0;1;0;1;0;0;1;0;1;7
81.61058;195.89566;80.833305;0.25;0.0;200.0;0.0;105;85;0;0;0;0;0;0;1;0;1;0;0;1;0;1;7
81.61058;197.4261;80.551285;0.0;0.0;200.0;0.0;105;85;0;0;0;0;0;0;1;0;1;0;0;1;0;1;7
81.61058;200.74203;80.8553;0.0;0.0;200.0;0.0;105;85;0;0;0;0;0;0;1;0;1;0;0;1;0;1;7
81.61058;198.19131;80.46183;0.0;0.0;200.0;0.0;105;85;0;0;0;0;0;0;1;0;1;0;0;1;0;1;7
81.61058;196.66087;80.160995;0.0;0.0;200.0;0.0;105;85;0;0;0;0;0;0;1;0;1;0;0;1;0;1;7
81.61058;196.66087;80.3615;0.0;0.0;200.0;0.0;105;85;0;0;0;0;0;0;1;0;1;0;0;1;0;1;7
